CODGR;LIBGR;SOUGR;LIBSOUGR;CODAL;LIBAL;Energy.kcal;enerkj;EAU;Proteins.g;Fibre.g;Carbohydrates.g;Sugars.g;AMIDON;AGMONO;CHOLES;ALCOOL;Sodium.mg;Magnesium.mg;Phosphorus.mg;POTASSIUM;Calcium.mg;Iron.mg;MANGANESE;CUIVRE;Zinc.mg;Selenium.mg;IODE;RETINOL;BCAROT;Vitamin_A.mg;Vitamin_D.mcg;Vitamin_E.mg;Vitamin_C.mg;Vitamin_B1.mg;Vitamin_B2.mg;Vitamin_B3.mg;Vitamin_B5.mg;Vitamin_B6.mg;Vitamin_B9.mcg;Vitamin_B12.mcg;PROTEINE_B;ENERKJ_ac_FIB;ENERKC_ac_FIB;POLYOL;VITAMIK1;VITAMIK2;ACID_ORG;ORIGGPCD;ORIGGPFR;label_ciqual;AG_butyrique;AG_caproique;AG_caprylique;AG_caprique;AG_laurique;AG_myristique;AG_palmitique;AG_stearique;code_gpe_ssgpe;lib_gpe_ssgpe;Fat.g;Saturated_fat.g;AGPOLY;AG_oleique;AG_linoleique;linolenique;AG_arachid;AG_EPA;AG_DHA;ORIGFDNM;ENGFDNAM;LANGUALCODES;REMARKS;Add_sugars.g;Couleur;Saison;remarque_portion_com;Source_newTNS;prix;portioncom;groupe;sous_groupe;famille;free_sugar;enrichi;allege;garanti;code_gpe;code_ss_gpe;code_fam;code_total;new_fam;ali_veg;index2;ani_veg;fam;fam2;pdt_ani;index1;code_epic;gpe_epic;foodex_gpe;Matrix_Group_description;foodex_ss_gpe;Matrix_Subgroup_description;FOODEXCODE;COMMENTSFOOD;Additional_information;info_additionnel_foodex;autre_foodex_nomencla;FOOD_N;FDXL1_N;FDXL2_N;FDXL1;FDXL2;ic_dualine_nette;rmq_green;IC_GREEN_nette;eutro_green_nette;acid_green_nette;COUNT;pct_conso_adu_normo;dualine;Famille_Questionnaire_Freq;sous_groupe_Questionnaire_Freq;groupe_Questionnaire_Freq;lim;sain_5_base;sain_5;sain_23;gr
33;boissons alcoolisées;5;cocktails et mélanges;42;cocktail type punch planteur;89.40000153;374.0495911;81.5;0.400000006;0.100000001;10.10000038;10.10000038;0;0;0;6.699999809;1;8;11;116;9;0.300000012;0.317699999;0.0385;0.112999998;0.375;0.899999976;0;22;3.666666667;0;0.109999999;25;0.050000001;0.02;0.206750005;0.111100003;0.039999999;10;0;;;;;;;;;;;;;;;;;;;335;boissons alcoolisées_cocktails et mélanges;0.100000001;0;0;;0;0;0;0;0;;;;;3.92;PAS LEGUME;0;;Recette TNS;0.547074108;1;AUTRES_BOISS;ALC;ALCOOL;10.10000038;0;0;0;7;3;1;731;ALCOOL;0;21;0;boiss_Alcool;boiss_Alcool;0;33;14;Alcoholic beverages;A.14;Alcoholic beverages;A.14.07;Alcoholic mixed drinks;A.01.001571;;A.14.07.002;Punch;A.01.001534;cocktail of rum and fruit juice (planteur type);Alcoholic beverages;Alcoholic mixed drinks;A.14;A.14.07;;;;;;39;2.033368092;NON;;;;2.623905275;6.072182772;6.072182772;2.49775925;1
33;boissons alcoolisées;5;cocktails et mélanges;43;cocktail alcoolisé;196.3000031;821.3192139;63.29999924;0;0;20.10000038;20.10000038;0;0;0;16.60000038;1;1;1;8;2;0;0.0021054;0.046631999;0.020166;0.163550004;0.979499996;0;2;0.333333333;0;0;0;0;0;0.00895;0.005421;0;1;0;;;;;;;;;;;;;;;;;;;335;boissons alcoolisées_cocktails et mélanges;0;0;0;;0;0;0;0;0;;;;;19.4;PAS LEGUME;0;;TNS;0.425164904;1;AUTRES_BOISS;ALC;ALCOOL;20.10000038;0;0;0;7;3;1;731;ALCOOL;0;21;0;boiss_Alcool;boiss_Alcool;0;33;14;Alcoholic beverages;A.14;Alcoholic beverages;A.14.07;Alcoholic mixed drinks;A.01.001570;;A.14.07.001;Cocktail drink;A.01.001534;alcoholic cocktail;Alcoholic beverages;Alcoholic mixed drinks;A.14;A.14.07;;;;;;40;2.085505735;NON;;;;12.94390528;0.022641082;0.022641082;0.108418348;4
22;crustacés et mollusques;3;autres fruits de mer ou fruits de mer sans précision;172;plateau de fruits de mer;83.69999695;350.2008057;79.90000153;18;0;0;0;0;0.5;108;0;845;50;288;239;94;3;0.296000004;0.75999999;5.980000019;14.60000038;123;0;0;0;0;0.400000006;0;0.029999999;0.039999999;1.850000024;0.40200001;0.050000001;17;1.700000048;;;;;;;;;;;;;;;;;;;223;crustacés et mollusques_autres fruits de mer ou fruits de mer sans précision;1.299999952;0.300000012;0.400000006;;0.121970006;0.01335;0.02638;0.148;0.0903;;;;;0;PAS LEGUME;0;;TNS;4.358569927;0.3;VOP;POISSONS;CRS;0;0;0;0;3;2;3;323;CRS;0;14;0;Crustaces;FishShell;0;14;8;Fish and shellfish;;Fish and other seafood (including amphibians, reptiles, snails and insects);A.07;;A.01.000876;;A.07;Fish and other seafood (including amphibians, reptiles, snails and insects);A.01.000876;seafood platter;Fish and other seafood (including amphibians. reptiles. snails and insects);Fish and other seafood (including amphibians. reptiles. snails and insects) (unspecified);A.07;A.07.00;;;;;;22;1.147028154;NON;;;;9.387836518;14.84749209;14.84749209;24.60763135;3
39;plats composés;4;plats sans garniture;577;brandade de morue recette traditionnelle;266.2000122;1113.780029;54.40000153;23.39999962;0.200000003;3;0.400000006;2.599999905;12.5;33;0;289;26;122;230;24;1.299999952;0.02468;0.066319004;0.650120974;14.98869991;93.47799683;3;1;3.166666667;0;2.49000001;0;1.210000038;0.07;0.581589997;0.104084;0.270000011;5;1.399999976;;;;;;;;;;;;;;;;;;;394;plats composés_plats sans garniture;17.79999924;2.700000048;1.799999952;;1.588803952;0.103496;0.0085;0.0377;0.0615;;;;;0;PAS LEGUME;0;;TNS;0.98894;1;PLATS_PREPARES;PCACCSOUPE;PLATPREP;0;0;0;0;4;1;1;411;FEC_POI;0;15;0;Plat_prep_poisson;Plat_prep_ani;0;20;17;Miscellaneous;;;;;;;;;;Brandade cod dish traditional recipe;Animal composite dishes;Fish and seafood based meals;A.19B;A.19B.02;;;;;;11;0.573514077;NON;;;;7.14620042;3.74655623;3.74655623;7.335410002;2
29;chocolat;1;chocolat en tablettes;673;chocolat au lait fourré au praliné en tablette;504.7999878;2112.083252;7.300000191;5.699999809;3.200000048;53.59999847;51.59999847;2;10.80000019;28;0;49;60;170;303;124;1.399999976;0.509054005;0.370290995;1.007990003;2.426150084;12.8579998;55;66;66;0.100000001;2.279999971;0;0.079999998;0.230000004;0.479954988;0.328512013;0.050000001;13;0;;;;;;;;;;;;;;;;;;;291;chocolat_chocolat en tablettes;29.79999924;15.60000038;1.399999976;;1.342838395;0.05657681;0.000584771;0;0;;;;;49.299;PAS LEGUME;0;;Comp prix 2012;0.975;1;PRODGRASUC;PRODUIT_SUCRE;SUCRERIES;49.299;0;0;0;6;1;4;614;SUCRERIES;0;17;0;Sucres_derives;sweetsandSalted;0;26;11;Sugar and confectionary;A.10;Sugar and confectionary;A.10.03;Chocolate (cocoa) products;A.01.001302;;A.10.03.007;Filled chocolate;A.01.001267;milk chocolate filled with praline;Sugar and confectionary;Chocolate (Cocoa) products;A.10;A.10.03;;;252;287;3.04;118;6.152241919;NON;;;;57.02038938;1.844176283;1.923415589;1.677101684;4
29;chocolat;1;chocolat en tablettes;677;chocolat noir fourré au praliné en tablette;483.2999878;2022.127197;6;3.700000048;3.900000095;61.40000153;59.09999847;2.299999952;9.100000381;19;0;20;62;121;238;59;1.600000024;0.578010976;0.371910989;0.866572022;1.92513001;4.991399765;47;57;56.5;0.100000001;1.700000048;0;0.059999999;0.100000001;0.397944987;0.241196007;0.059999999;17;0;;;;;;;;;;;;;;;;;;;291;chocolat_chocolat en tablettes;24.79999924;13.30000019;1;;0.952429288;0.047084057;0.000486655;0;0;;;;;59.09999847;PAS LEGUME;0;;Comp prix 2012;1.025;1;PRODGRASUC;PRODUIT_SUCRE;SUCRERIES;59.09999847;0;0;0;6;1;4;614;SUCRERIES;0;17;0;Sucres_derives;sweetsandSalted;0;26;11;Sugar and confectionary;A.10;Sugar and confectionary;A.10.03;Chocolate (cocoa) products;A.01.001302;;A.10.03.007;Filled chocolate;A.01.001267;dark chocolate filled with praline;Sugar and confectionary;Chocolate (Cocoa) products;A.10;A.10.03;;;;;;64;3.336809176;NON;;;;59.76295326;1.682096624;1.764860956;1.44175447;4
33;boissons alcoolisées;4;spiritueux et vins cuits;1000;pastis;274;1140;59.7;0;0;2.81;2.33;0;0;0;37.5;2;0;0;2;0;0;0;0.07;0.02;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1140;274;0;;;0;23.4;Liqueurs et alcools;Pastis;0;0;0;0;0;0;0;0;334;boissons alcoolisées_spiritueux et vins cuits;0;0;0;0;0;0;0;0;0;Pastis;Anis spirit;A0200 A0465 A0639 A0661 A0713 A0734 A0850 B1347 C0174 E0123 F0014 G0003 H0136 H0150 H0229 H0232 H0270 J0104 K0003 M0130 M0214 N0040 P0024;;2.33;PAS LEGUME;0;;TNS;1.34452;1;AUTRES_BOISS;ALC;ALCOOL;2.33;0;0;0;7;3;1;731;ALCOOL;0;21;0;boiss_Alcool;boiss_Alcool;0;33;14;Alcoholic beverages;A.14;Alcoholic beverages;A.14.06;Spirits;A.01.001568;;A.14.06.007;Spirits made from vegetables (tequila);A.01.001534;Anis spirit;Alcoholic beverages;Spirits;A.14;A.14.06;;;;;;4;0.208550574;NON;;;;1.574477217;0;0;0.076196285;2
33;boissons alcoolisées;4;spiritueux et vins cuits;1001;eau-de-vie;237;982;65.9;0;0;0.789;0.129;0;0;0;33.4;1.75;0;0;1.89;0;0;0;0.0691;0.0193;0;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;982;237;0;0;;0;23.4;Liqueurs et alcools;Eau de vie;0;0;0;0;0;0;0;0;334;boissons alcoolisées_spiritueux et vins cuits;0;0;0;0;0;0;0;0;0;Eau de vie;Brandy;A0200 A0465 A0639 A0661 A0713 A0734 A0850 B1140 C0167 E0123 F0014 G0003 H0232 H0253 H0270 J0003 K0003 M0130 M0214 N0040 P0024;;0;PAS LEGUME;0;;TNS;2.21026;1;AUTRES_BOISS;ALC;ALCOOL;0.129;0;0;0;7;3;1;731;ALCOOL;0;21;0;boiss_Alcool;boiss_Alcool;0;33;14;Alcoholic beverages;A.14;Alcoholic beverages;A.14.06;Spirits;A.01.001562;;A.14.06.001;Brandy;A.01.001534;Brandy;Alcoholic beverages;Spirits;A.14;A.14.06;;;;;;44;2.294056309;NON;;;;0.018500899;0;0;0.08943884;2
33;boissons alcoolisées;4;spiritueux et vins cuits;1002;gin;265;1100;62.1;0;0;0;0;0;0;0;37.9;2;0;0;0;0;0.07;0;0.00167;0.002;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1100;265;0;0;;0;23.4;Liqueurs et alcools;Gin;0;0;0;0;0;0;0;0;334;boissons alcoolisées_spiritueux et vins cuits;0;0;0;0;0;0;0;0;0;Gin;Gin;A0277 A0465 A0639 A0661 A0713 A0734 A0850 B1324 C0133 E0123 F0014 G0003 H0229 H0232 H0270 J0003 K0003 M0130 M0214 N0040 P0024;;0;PAS LEGUME;0;;TNS;1.19695;1;AUTRES_BOISS;ALC;ALCOOL;0;0;0;0;7;3;1;731;ALCOOL;0;21;0;boiss_Alcool;boiss_Alcool;0;33;14;Alcoholic beverages;A.14;Alcoholic beverages;A.14.06;Spirits;A.01.001564;;A.14.06.003;Gin;A.01.001534;Gin;Alcoholic beverages;Spirits;A.14;A.14.06;;;;;;17;0.886339937;NON;;;;0.021143884;0.042264151;0.042264151;0.021946288;2
33;boissons alcoolisées;4;spiritueux et vins cuits;1003;liqueurs;196;825;61.2;0;0;24.8;23.8;0;0;0;13.9;3.25;6.4;6.4;28.5;7.67;0.413;0.0192;0.0814;0.115;0.300000012;1;0;10;1.666666667;0;0;0;0;0;0;0;0;0;0.016;0;825;196;0;0.65;;0;23.4;Liqueurs et alcools;Liqueur;0;0;0;0;0;0;0;0;334;boissons alcoolisées_spiritueux et vins cuits;0;0;0;0;0;0;0;0;0;Liqueur;Liqueur;A0240 A0465 A0639 A0661 A0713 A0734 A0850 B1347 C0174 E0123 F0014 G0003 H0136 H0227 H0232 H0270 J0003 K0003 M0130 M0214 N0040 P0024;;21;PAS LEGUME;0;;TNS;1.23737;1;AUTRES_BOISS;ALC;ALCOOL;23.8;0;0;0;7;3;1;731;ALCOOL;0;21;0;boiss_Alcool;boiss_Alcool;0;33;14;Alcoholic beverages;A.14;Alcoholic beverages;A.14.05;Liqueur;A.01.001552;;A.14.05;Liqueur;A.01.001534;Liqueur;Alcoholic beverages;Liqueur;A.14;A.14.05;;;;;;79;4.118873827;NON;;;;14.03435881;0.424104308;0.424104308;0.319457911;4
