Nutrient;Type;Daily_reco;Daily_reco_unit;Bkf_reco_pct;Bkf_reco_pct_unit;Bkf_reco;Bkf_reco_unit
Energy.kcal;fixed;2000;kcal;20;%DV;400;kcal
Energy.kcal;lower;0;kcal;0;%DV;300;kcal
Energy.kcal;upper;0;kcal;0;%DV;500;kcal
Proteins.g;lower;50;g;20;%DV;10;g
Vitamin_A.mg;lower;800;mg;10;%DV;80;mg
Vitamin_B1.mg;lower;1,2;mg;20;%DV;0,24;mg
Vitamin_B2.mg;lower;1,2;mg;30;%DV;0,36;mg
Vitamin_B3.mg;lower;15;mg;25;%DV;3,75;mg
Vitamin_B6.mg;lower;1,3;mg;20;%DV;0,26;mg
Vitamin_B12.mcg;lower;2,4;mcg;20;%DV;0,48;mcg
Calcium.mg;lower;1000;mg;25;%DV;250;mg
Carbohydrates.g;lower;55;%EN;20;%DV;55;%EN
Carbohydrates.g;upper;75;%EN;20;%DV;75;%EN
Fibre.g;lower;25;g;20;%DV;5;g
Vitamin_C.mg;lower;100;mg;20;%DV;20;mg
Vitamin_D.mcg;lower;5;mcg;20;%DV;1;mcg
Vitamin_B9.mcg;lower;400;mcg;20;%DV;80;mcg
Iron.mg;lower;14;mg;20;%DV;2,8;mg
Potassium.mg;lower;3500;mg;20;%DV;700;mg
Magnesium.mg;lower;310;mg;20;%DV;62;mg
Zinc.mg;lower;11;mg;20;%DV;2,2;mg
Sodium.mg;upper;2000;mg;20;%DV;400;mg
Add_sugars.g;upper;10;%EN;20;%DV;10;%EN
Sugars.g;upper;10;%EN;20;%DV;10;%EN
Fat.g;lower;20;%EN;20;%DV;20;%EN
Fat.g;upper;30;%EN;20;%DV;30;%EN
Saturated_fat.g;upper;10;%EN;20;%DV;10;%EN
